SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807903013,Madrid,1022,102200,1586,2411848,Madrid
0,2807903014,Madrid,1272,63600,1688,256759,Madrid
0,2807903015,Madrid,1064,106400,1427,2170425,Madrid
0,2807903016,Madrid,836,41800,1421,2160762,Madrid
0,2807903017,Madrid,1225,61250,1673,2544083,Madrid
0,2807903018,Madrid,1871,623667,1707,2595913,Madrid
0,2807903019,Madrid,1863,37260,1914,2910269,Madrid
0,2807903020,Madrid,1278,31950,1462,22234,Madrid
1,2807903021,Madrid,1655,41375,161,2448612,Madrid
1,2807903022,Madrid,1059,105900,1178,1791044,Madrid
1,2807903023,Madrid,934,46700,1624,24691,Madrid
0,2807903024,Madrid,1236,61800,1637,2488775,Madrid
0,2807903025,Madrid,2719,247182,1811,2753643,Madrid
0,2807903026,Madrid,1740,43500,1565,2379897,Madrid
0,2807903027,Madrid,1208,60400,1463,2224578,Madrid
0,2807903028,Madrid,1507,502333,1806,274684,Madrid
0,2807903029,Madrid,1576,225143,1914,2911334,Madrid
0,2807903030,Madrid,780,26000,1984,3017205,Madrid
0,2807903031,Madrid,1120,56000,1767,2686725,Madrid
0,2807903032,Madrid,1101,18350,1836,2791796,Madrid
0,2807903033,Madrid,1535,15350,1674,2545089,Madrid
0,2807903034,Madrid,1404,35100,1929,293321,Madrid
0,2807903035,Madrid,1181,23620,2048,3114519,Madrid
0,2807903036,Madrid,917,45850,2089,3176918,Madrid
0,2807903037,Madrid,1362,34050,2012,3059816,Madrid
0,2807903038,Madrid,1064,354667,192,2920484,Madrid
0,2807903039,Madrid,856,21400,2065,3139677,Madrid
0,2807903040,Madrid,796,79600,1957,2975808,Madrid
0,2807903041,Madrid,1175,391667,1997,3037395,Madrid
0,2807903042,Madrid,1185,39500,1904,2894823,Madrid
0,2807903044,Madrid,1159,144875,1888,2870644,Madrid
0,2807903045,Madrid,996,110667,1942,2953524,Madrid
0,2807903046,Madrid,903,22575,1897,288456,Madrid
0,2807903047,Madrid,1669,238429,1709,2598134,Madrid
0,2807903048,Madrid,1132,80857,1843,2802578,Madrid
0,2807903049,Madrid,1852,617333,1931,2936067,Madrid
0,2807903050,Madrid,1347,67350,1975,300272,Madrid
0,2807903051,Madrid,1101,55050,1913,2908652,Madrid
0,2807903052,Madrid,994,49700,1745,2654259,Madrid
0,2807903053,Madrid,1398,69900,148,2250397,Madrid
0,2807903054,Madrid,1328,66400,1919,29185,Madrid
0,2807903055,Madrid,955,47750,1414,2149507,Madrid
0,2807903056,Madrid,1140,57000,1952,2968828,Madrid
0,2807903057,Madrid,1062,53100,1899,2888147,Madrid
0,2807903058,Madrid,1247,62350,1725,2623558,Madrid
0,2807903059,Madrid,1152,57600,1876,285249,Madrid
0,2807903060,Madrid,778,38900,1986,3020586,Madrid
0,2807903061,Madrid,844,84400,1707,2595937,Madrid
0,2807903063,Madrid,807,80700,1831,2784416,Madrid
0,2807903064,Madrid,974,48700,2033,3091228,Madrid
0,2807903065,Madrid,1474,491333,1992,3028706,Madrid
0,2807903066,Madrid,890,44500,2017,3067345,Madrid
0,2807903067,Madrid,1227,61350,2065,3140242,Madrid
0,2807903069,Madrid,968,74462,2235,3398289,Madrid
0,2807903070,Madrid,726,80667,227,3452455,Madrid
0,2807903071,Madrid,1431,59625,2234,3397178,Madrid
0,2807903073,Madrid,1649,11779,1842,2801026,Madrid
0,2807903074,Madrid,1147,382333,1958,297825,Madrid
0,2807903076,Madrid,1035,51750,1955,2972285,Madrid
0,2807903077,Madrid,1634,544667,213,3239603,Madrid
1,2807903078,Madrid,1524,30480,2092,3180848,Madrid
1,2807903079,Madrid,1294,64700,1746,2654846,Madrid
0,2807903080,Madrid,1795,17950,2118,3221451,Madrid
0,2807903081,Madrid,1871,116938,2184,3320453,Madrid
0,2807903082,Madrid,1465,183125,2233,3395487,Madrid
0,2807903084,Madrid,1527,50900,2041,3103692,Madrid
0,2807903085,Madrid,842,16840,2157,3279805,Madrid
0,2807903086,Madrid,1053,150429,198,3011009,Madrid
0,2807903087,Madrid,1749,43725,2066,3141819,Madrid
0,2807903088,Madrid,658,65800,162,246393,Madrid
