SALONES;ID;NAME;POPULATION;POP_DENS;PPIDX_CY;PPPC_CY;REGION
0;4718608039;Valladolid;653;65300;67,4;10252,05;CastillayL
0;4718609001;Valladolid;722;24066,7;201,2;30594;CastillayL
0;4718609002;Valladolid;1229;7229,4;191,5;29128,71;CastillayL
0;4718609003;Valladolid;842;16840;161,4;24536,94;CastillayL
0;4718609004;Valladolid;1389;27780;187,2;28467,36;CastillayL
0;4718609006;Valladolid;869;43450;158,2;24055,12;CastillayL
1;4718609007;Valladolid;1856;15466,7;164,3;24983,15;CastillayL
0;4718609009;Valladolid;1240;12400;173,6;26398,44;CastillayL
0;4718609010;Valladolid;896;14933,3;149,8;22773,83;CastillayL
0;4718609011;Valladolid;1606;22942,9;116,8;17767,63;CastillayL
0;4718610001;Valladolid;1415;507,2;119,1;18113,74;CastillayL
0;4718610002;Valladolid;862;43100;92,3;14040,83;CastillayL
0;4718610003;Valladolid;890;29666,7;89,6;13619,38;CastillayL
0;4718610004;Valladolid;823;41150;106;16123,74;CastillayL
0;4718610005;Valladolid;1508;30160;97,7;14857,83;CastillayL
0;4718610006;Valladolid;1495;329,3;97,3;14803,1;CastillayL
0;4718610007;Valladolid;1739;6440,7;150,9;22953,09;CastillayL
0;4718610008;Valladolid;1705;968,8;106;16115,97;CastillayL
0;4718610009;Valladolid;985;14071,4;86,8;13199,44;CastillayL
0;4718610010;Valladolid;1020;8500;168,6;25637,45;CastillayL
0;4718610011;Valladolid;1002;5010;199,7;30371,76;CastillayL
0;4718610013;Valladolid;983;19660;146,8;22323,13;CastillayL
0;4718610014;Valladolid;1445;14450;102,2;15537,98;CastillayL
0;4718610015;Valladolid;930;46500;96;14592,74;CastillayL
0;4718610016;Valladolid;767;12783,3;109,9;16706,82;CastillayL
0;4718610017;Valladolid;980;16333,3;49,3;7500,93;CastillayL
1;4718610018;Valladolid;1139;11390;145,9;22184,18;CastillayL
0;4718610019;Valladolid;1134;12600;73,2;11124,08;CastillayL
0;4718610020;Valladolid;932;11650;175;26613,54;CastillayL
0;4718610021;Valladolid;1126;14075;163,4;24850,73;CastillayL
0;4718610022;Valladolid;1202;8013,3;52,3;7955,23;CastillayL
0;4718610024;Valladolid;1407;2306,6;116,1;17662,22;CastillayL
0;4718610025;Valladolid;753;9412,5;93,3;14192,03;CastillayL
0;4718610026;Valladolid;979;32633,3;87,3;13273,29;CastillayL
0;4718610027;Valladolid;1001;25025;131,2;19946,14;CastillayL
0;4718610028;Valladolid;775;38750;116,1;17661,13;CastillayL
0;4718610029;Valladolid;1727;19188,9;164,4;24999,45;CastillayL
0;4718610030;Valladolid;2229;1428,8;156,9;23860,05;CastillayL
0;4718610031;Valladolid;737;5669,2;76,1;11576,69;CastillayL
0;4718610032;Valladolid;757;5407,1;128,2;19494,16;CastillayL
0;4718610033;Valladolid;1262;5736,4;128,3;19517,53;CastillayL
0;4718610034;Valladolid;1078;7186,7;171,9;26135,65;CastillayL
